city,date,aqi,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,pressure,dominant_pollutant,lat,lng,days_since_update,freshness,is_high_pollution,data_quality,freshness_status
Beijing,2026-09-18 00:00:00,159.0,159.0,84.0,5.1,5.5,2.1,52.6,23.0,83.0,2.5,1018.0,pm25,39.954592,116.468117,-1,Live,True,poor,Live
Shanghai,2026-09-18 00:00:00,50.0,50.0,20.0,6.4,4.6,3.6,44.3,25.0,69.0,1.5,1016.0,pm25,31.2047372,121.4489017,-1,Live,False,poor,Live
Chengdu,2026-09-18 00:00:00,50.0,50.0,11.0,9.6,7.3,2.6,20.4,22.0,88.0,1.5,1015.0,pm25,30.6250145,104.0670559,-1,Live,False,poor,Live
Wuhan,2026-09-17 23:00:00,80.0,80.0,26.0,7.8,6.4,3.1,23.77,19.0,100.0,2.5,1016.0,pm25,30.593099,114.305393,-1,Live,False,poor,Live
Shenzhen,2026-09-18 00:00:00,76.0,76.0,50.0,11.9,6.4,2.6,57.1,28.0,80.0,3.6,1012.6,pm25,22.543099,114.057868,-1,Live,False,poor,Live
Xian,2026-09-18 00:00:00,74.0,74.0,40.0,6.0,6.4,1.1,30.9,19.0,72.0,5.6,1016.0,pm25,34.341568,108.940175,-1,Live,False,poor,Live
Hong Kong,2026-09-18 00:00:00,35.0,67.0,34.0,28.7,3.1,1.7,34.7,27.2,80.0,1.2,1012.5,o3,22.2796569,114.1719873,-1,Live,False,poor,Live
Macau,2026-09-18 00:00:00,74.0,74.0,55.0,6.9,4.6,5.1,55.2,28.0,83.0,6.1,1012.0,pm25,22.270715,113.576726,-1,Live,False,poor,Live
Tokyo,2026-09-18 01:00:00,28.0,21.0,9.0,8.4,3.4,1.5,28.1,23.8,66.0,1.0,983.3,o3,35.6414629,139.6981712,-1,Live,False,poor,Live
Osaka,2026-09-18 01:00:00,34.0,34.0,14.0,11.2,0.1,11.5,22.4,24.0,78.0,5.1,1017.0,pm25,34.6937378,135.5021651,-1,Live,False,poor,Live
Nagoya,2026-09-18 01:00:00,33.0,30.0,11.0,11.2,2.3,1.5,32.8,25.0,82.0,4.3,1018.0,o3,35.1814464,136.906398,-1,Live,False,poor,Live
Fukuoka,2026-09-18 01:00:00,46.0,46.0,14.0,6.5,4.5,1.5,32.8,24.0,69.0,1.5,1015.0,pm25,33.5903547,130.4017155,-1,Live,False,poor,Live
Sapporo,2026-09-18 01:00:00,38.0,38.0,11.0,7.5,5.6,1.5,12.8,12.0,96.5,1.2,1027.0,pm25,43.0620958,141.3543763,-1,Live,False,poor,Live
Seoul,2026-09-18 02:00:00,34.0,17.0,11.0,5.1,3.0,3.5,34.4,20.0,64.0,2.5,1021.3,o3,37.566535,126.9779692,-1,Live,False,poor,Live
Busan,2026-09-18 01:00:00,42.0,42.0,17.0,2.4,2.6,5.8,30.4,,,,,pm25,35.1795543,129.0756416,-1,Live,False,poor,Live
Incheon,2026-09-18 01:00:00,30.0,17.0,10.0,6.1,3.7,3.2,30.3,,,,,o3,37.4562557,126.7052062,-1,Live,False,poor,Live
Gwangju,2026-09-18 01:00:00,35.0,30.0,15.0,5.9,3.6,4.8,34.5,5.7,94.0,0.8,1019.7,o3,35.1595454,126.8526012,-1,Live,False,poor,Live
Taipei,2026-09-18 01:00:00,38.0,38.0,25.0,5.0,2.4,0.9,30.8,26.0,78.0,5.1,1012.0,pm25,25.062361,121.526528,-1,Live,False,poor,Live
Kaohsiung,2026-09-18 01:00:00,46.0,46.0,24.0,2.8,1.7,0.3,41.0,29.3,81.0,1.6,1011.0,pm25,22.608711,120.312017,-1,Live,False,poor,Live
Bangkok,2026-09-18 00:00:00,42.0,42.0,14.0,9.3,0.1,0.6,34.7,27.8,85.0,6.6,1011.5,pm25,13.7563309,100.5017651,-1,Live,False,poor,Live
Hanoi,2026-09-17 22:00:00,124.0,124.0,24.92,10.68,12.03,2.87,23.77,25.0,98.0,1.5,1012.0,pm25,21.0811211,105.8180306,0,Live,False,poor,Live
Singapore,2026-09-18 00:00:00,63.0,63.0,49.0,10.68,8.0,2.0,13.0,29.4,78.3,5.3,1012.6,pm25,1.296183,103.846181,-1,Live,False,poor,Live
Jakarta,2026-09-17 23:00:00,76.0,76.0,24.92,10.68,12.03,2.87,23.77,28.0,74.0,2.5,1013.0,pm25,-6.155,106.846,-1,Live,False,poor,Live
Kuala Lumpur,2026-09-18 00:00:00,165.0,165.0,68.0,13.0,0.1,0.8,6.2,28.0,74.0,0.5,1012.0,pm25,3.139003,101.686855,-1,Live,True,poor,Live
Chiang Mai,2026-09-18 00:00:00,20.0,20.0,82.0,7.5,12.03,0.6,14.6,26.0,88.0,2.5,1011.0,pm25,18.787747,98.9931284,-1,Live,False,poor,Live
London,2026-09-17 16:00:00,34.0,34.0,17.0,14.7,2.8,0.7,20.8,20.0,52.3,6.2,1010.9,pm25,51.5073509,-0.1277583,0,Live,False,poor,Live
Paris,2026-09-17 16:00:00,31.0,19.0,26.0,12.6,0.1,0.6,31.3,21.0,59.0,6.1,1014.0,o3,48.856614,2.3522219,0,Live,False,poor,Live
Berlin,2026-09-17 17:00:00,34.0,34.0,12.0,14.2,0.1,2.87,27.7,20.0,79.5,0.5,2325.4,pm25,52.5200066,13.404954,0,Live,False,poor,Live
Madrid,2026-09-17 13:00:00,42.0,30.0,11.0,2.8,0.1,1.6,42.3,25.1,35.7,0.5,1015.5,o3,40.4167754,-3.7037902,0,Live,False,poor,Live
Amsterdam,2026-09-17 17:00:00,22.0,7.0,7.0,3.9,4.5,2.87,21.6,15.6,96.0,2.3,1007.5,o3,52.3702157,4.8951679,0,Live,False,poor,Live
Brussels,2026-09-17 18:00:00,22.0,7.0,10.0,5.1,12.03,2.87,22.0,18.0,63.0,6.6,1011.0,o3,50.8503396,4.3517103,0,Live,False,good,Live
Vienna,2026-09-17 16:00:00,25.0,25.0,9.0,6.0,12.03,2.87,23.77,18.8,77.4,,1014.7,pm25,48.2167394444444,16.3809180555556,0,Live,False,partial,Live
Warsaw,2026-09-17 18:00:00,18.0,18.0,10.0,15.9,0.1,2.0,12.0,17.0,67.0,3.6,1014.0,pm25,52.225171,21.014783,0,Live,False,poor,Live
Prague,2026-09-17 17:00:00,32.0,12.0,4.0,6.1,12.03,2.3,32.0,19.2,49.4,1.8,1014.8,o3,50.094238,14.442049,0,Live,False,poor,Live
Budapest,2026-09-17 17:00:00,30.0,30.0,17.0,8.0,12.03,2.87,23.77,20.8,47.2,4.7,1010.9,pm25,47.508605,19.02764,0,Live,False,partial,Live
Bucharest,2026-09-17 19:00:00,24.0,44.26,24.0,38.1,12.03,2.87,23.77,23.5,43.4,0.4,1003.7,pm10,44.435029,26.098609,0,Live,False,partial,Live
Athens,2026-09-17 19:00:00,25.0,25.0,16.0,17.4,12.03,3.6,23.77,25.2,37.0,2.5,1007.6,pm25,37.988028,23.727628,0,Live,False,good,Live
Stockholm,2026-09-17 17:00:00,11.0,44.26,11.0,6.5,0.1,2.87,23.77,15.0,67.0,2.5,1001.0,pm10,59.3408269502832,18.0582536812784,0,Live,False,partial,Live
Oslo,2026-09-17 18:00:00,9.0,9.0,4.0,10.68,12.03,2.87,23.77,7.7,10.0,58.0,976.9,pm25,59.914051,10.735978,0,Live,False,partial,Live
Copenhagen,2026-09-17 16:00:00,33.0,33.0,12.0,6.3,2.4,0.4,21.9,16.0,77.0,5.9,1007.0,pm25,55.6750137,12.5693995,0,Live,False,poor,Live
Helsinki,2026-09-17 19:00:00,21.0,17.0,9.0,4.3,12.03,0.4,21.0,16.0,72.0,5.1,1000.0,o3,60.1733244,24.9410248,0,Live,False,poor,Live
Zurich,2026-09-17 01:00:00,16.0,16.0,13.0,10.68,12.03,12.6,26.0,20.1,75.6,1.0,1016.2,pm25,47.3768866,8.541694,0,Live,False,good,Live
Lisbon,2026-09-17 15:00:00,33.0,26.0,19.0,8.6,12.03,1.2,33.3,23.0,40.0,8.7,1015.0,o3,38.748611111111,-9.1488888888889,0,Live,False,poor,Live
Dublin,2026-09-17 16:00:00,26.0,26.0,12.0,24.2,12.03,2.87,10.1,15.0,67.0,8.7,1009.0,pm25,53.345053,-6.254344,0,Live,False,good,Live
Barcelona,2026-09-17 18:00:00,30.0,30.0,16.0,6.4,0.1,0.6,25.2,23.3,69.3,7.0,1014.4,pm25,41.385343283956,2.1538219595817,0,Live,False,poor,Live
Lyon,2026-09-17 17:00:00,11.0,44.26,11.0,3.6,12.03,2.87,23.77,21.0,37.0,4.1,1016.0,pm10,45.74972628,4.84439392,0,Live,False,partial,Live
Rotterdam,2026-09-17 18:00:00,15.0,9.0,14.0,24.3,12.03,2.87,15.0,17.0,88.0,7.2,1008.0,o3,51.930833,4.479167,0,Live,False,good,Live
Edinburgh,2026-09-17 16:00:00,24.0,16.0,6.0,2.8,3.1,0.9,23.8,16.1,79.6,10.2,1001.3,o3,55.945589,-3.182186,0,Live,False,poor,Live
Krakow,2026-09-17 18:00:00,44.0,44.0,16.0,22.3,0.1,1.4,19.9,17.0,72.0,2.0,1016.0,pm25,50.057678,19.926189,0,Live,False,poor,Live
Tallinn,2026-09-17 19:00:00,15.0,5.0,5.0,10.5,0.1,0.2,14.5,14.0,93.0,3.8,1002.0,o3,59.43107,24.760317,0,Live,False,poor,Live
Ljubljana,2026-09-17 18:00:00,6.0,17.0,6.0,10.68,12.03,2.87,23.77,16.0,88.0,0.5,1015.9,pm10,46.037791,14.494001,0,Live,False,partial,Live
Zagreb,2026-09-17 18:00:00,44.0,44.0,18.0,15.4,12.03,5.4,23.77,17.0,88.0,2.5,1016.0,pm25,45.800338888889,15.974072222222,0,Live,False,good,Live
Bratislava,2026-09-17 18:00:00,42.0,42.0,13.0,12.4,2.6,1.1,23.77,19.0,72.0,2.5,1015.0,pm25,48.1448688,17.1130846,0,Live,False,poor,Live
